Activity,Resource,Weekday,Case,Anomaly
43,1,4,4,1
44,1,4,4,1
45,1,4,4,1
47,3,4,4,1
48,3,4,4,1
49,3,1,4,1
50,3,1,4,1
51,3,1,4,1
52,3,1,4,1
1,1,1,5,1
2,1,2,5,1
3,1,1,5,1
4,3,3,5,1
5,3,4,5,1
6,3,4,5,1
7,3,4,5,1
10,3,4,5,1
11,3,4,5,1
12,3,4,5,1
13,3,4,5,1
14,3,4,5,1
15,3,4,5,1
16,1,1,5,1
17,1,1,5,1
18,1,1,5,1
19,1,1,5,1
20,1,1,5,1
21,1,1,5,1
22,1,1,5,1
23,1,1,5,1
24,1,1,5,1
25,1,1,5,1
26,1,1,5,1
27,1,1,5,1
30,1,1,5,1
53,1,5,5,1
54,1,5,5,1
55,1,1,5,1
56,1,1,5,1
31,1,1,5,1
32,1,1,5,1
33,1,1,5,1
34,1,1,5,1
35,1,1,5,1
36,1,1,5,1
37,1,1,5,1
38,1,1,5,1
39,1,1,5,1
40,1,1,5,1
41,1,1,5,1
42,1,2,5,1
43,1,1,5,1
44,1,1,5,1
45,1,1,5,1
46,1,1,5,1
47,3,4,5,1
48,3,4,5,1
49,1,1,5,1
50,1,1,5,1
51,1,1,5,1
52,1,1,5,1
1,1,1,6,1
2,1,2,6,1
3,1,1,6,1
4,1,4,6,1
5,1,4,6,1
6,1,4,6,1
7,1,4,6,1
10,1,4,6,1
11,1,4,6,1
12,1,4,6,1
13,1,4,6,1
14,1,4,6,1
15,1,4,6,1
16,1,1,6,1
17,1,1,6,1
18,1,1,6,1
19,1,1,6,1
20,1,1,6,1
21,1,1,6,1
22,1,1,6,1
23,1,1,6,1
24,1,1,6,1
25,1,1,6,1
26,1,1,6,1
27,1,1,6,1
30,1,1,6,1
53,1,5,6,1
54,1,5,6,1
55,1,1,6,1
56,1,1,6,1
31,1,1,6,1
32,1,1,6,1
33,1,1,6,1
34,1,1,6,1
35,1,1,6,1
36,1,5,6,1
37,1,1,6,1
38,1,1,6,1
39,1,1,6,1
57,1,1,6,1
40,1,1,6,1
41,1,1,6,1
42,1,2,6,1
43,1,1,6,1
44,1,1,6,1
45,1,1,6,1
46,1,1,6,1
47,1,4,6,1
48,1,4,6,1
49,1,1,6,1
50,1,1,6,1
51,1,1,6,1
52,1,1,6,1
1,1,1,7,1
2,1,2,7,1
3,1,1,7,1
4,1,3,7,1
5,1,4,7,1
6,1,4,7,1
7,1,4,7,1
10,1,4,7,1
11,1,4,7,1
12,1,4,7,1
13,1,4,7,1
14,1,4,7,1
15,1,4,7,1
16,1,4,7,1
17,1,1,7,1
18,1,1,7,1
19,1,1,7,1
20,1,1,7,1
21,1,1,7,1
22,1,1,7,1
23,1,1,7,1
24,1,1,7,1
25,1,1,7,1
26,1,1,7,1
27,1,1,7,1
30,1,1,7,1
53,1,5,7,1
54,1,5,7,1
55,1,1,7,1
56,1,1,7,1
31,1,1,7,1
32,1,1,7,1
33,1,1,7,1
34,1,1,7,1
35,1,1,7,1
36,1,1,7,1
37,1,1,7,1
38,1,1,7,1
39,1,1,7,1
40,1,1,7,1
41,1,1,7,1
42,1,2,7,1
43,1,1,7,1
44,1,1,7,1
45,1,1,7,1
46,1,1,7,1
47,1,4,7,1
48,1,4,7,1
49,1,1,7,1
50,1,1,7,1
51,1,1,7,1
52,1,1,7,1
1,1,1,8,1
2,1,2,8,1
3,1,1,8,1
4,1,3,8,1
5,1,4,8,1
6,1,4,8,1
7,1,4,8,1
10,1,4,8,1
11,1,4,8,1
12,1,4,8,1
13,1,4,8,1
14,1,4,8,1
15,1,4,8,1
16,1,4,8,1
17,1,1,8,1
18,1,1,8,1
19,1,1,8,1
20,1,1,8,1
21,1,1,8,1
22,1,1,8,1
23,1,1,8,1
24,1,1,8,1
25,1,1,8,1
26,1,1,8,1
27,1,1,8,1
30,1,1,8,1
53,1,5,8,1
54,1,5,8,1
55,1,1,8,1
56,1,1,8,1
31,1,1,8,1
32,1,1,8,1
33,1,1,8,1
34,1,1,8,1
35,1,1,8,1
36,1,1,8,1
37,1,1,8,1
38,1,1,8,1
39,1,1,8,1
40,1,1,8,1
41,1,1,8,1
42,1,2,8,1
43,1,1,8,1
44,1,1,8,1
45,1,1,8,1
46,1,1,8,1
47,1,4,8,1
48,1,4,8,1
49,1,1,8,1
50,1,1,8,1
51,1,1,8,1
52,1,1,8,1
1,1,1,9,1
2,1,2,9,1
3,1,1,9,1
4,1,5,9,1
5,1,4,9,1
6,1,4,9,1
7,1,4,9,1
8,1,4,9,1
9,1,4,9,1
10,1,4,9,1
11,1,4,9,1
12,1,4,9,1
13,1,4,9,1
14,1,4,9,1
15,1,4,9,1
16,1,4,9,1
17,1,4,9,1
18,1,4,9,1
19,1,4,9,1
20,1,4,9,1
21,1,4,9,1
22,1,4,9,1
23,1,4,9,1
24,1,4,9,1
25,1,4,9,1
26,1,4,9,1
27,1,4,9,1
30,1,4,9,1
53,1,5,9,1
54,1,5,9,1
55,1,4,9,1
56,1,4,9,1
31,1,4,9,1
32,1,4,9,1
33,1,4,9,1
34,1,4,9,1
35,1,1,9,1
36,1,1,9,1
37,1,4,9,1
38,1,4,9,1
39,1,4,9,1
40,1,1,9,1
41,1,1,9,1
42,1,2,9,1
43,1,1,9,1
44,1,1,9,1
45,1,1,9,1
46,1,1,9,1
47,1,4,9,1
48,1,4,9,1
49,1,4,9,1
50,1,4,9,1
51,1,4,9,1
52,1,4,9,1
1,1,4,10,1
2,1,2,10,1
3,1,4,10,1
4,1,4,10,1
5,1,4,10,1
6,1,4,10,1
7,1,4,10,1
10,1,4,10,1
11,1,4,10,1
12,1,4,10,1
13,1,4,10,1
14,1,4,10,1
15,1,4,10,1
16,1,4,10,1
17,1,1,10,1
18,1,1,10,1
19,1,1,10,1
20,1,1,10,1
21,1,1,10,1
22,1,1,10,1
23,1,1,10,1
24,1,1,10,1
25,1,1,10,1
26,1,1,10,1
27,1,1,10,1
30,1,1,10,1
53,1,5,10,1
54,1,5,10,1
55,1,1,10,1
56,1,1,10,1
31,1,1,10,1
32,1,1,10,1
33,1,1,10,1
34,1,1,10,1
35,1,1,10,1
36,1,1,10,1
37,1,1,10,1
38,1,1,10,1
39,1,1,10,1
40,1,4,10,1
41,1,4,10,1
42,1,2,10,1
43,1,4,10,1
44,1,4,10,1
45,1,4,10,1
46,1,4,10,1
47,1,4,10,1
48,1,4,10,1
49,1,1,10,1
50,1,1,10,1
51,1,1,10,1
52,1,1,10,1
1,1,2,11,1
2,1,2,11,1
3,1,2,11,1
4,3,5,11,1
5,3,4,11,1
6,3,4,11,1
7,3,4,11,1
10,3,4,11,1
11,3,4,11,1
12,3,4,11,1
13,3,4,11,1
14,3,4,11,1
15,1,2,11,1
16,1,2,11,1
17,1,2,11,1
18,1,2,11,1
19,1,2,11,1
20,1,2,11,1
21,1,2,11,1
22,1,2,11,1
23,1,2,11,1
24,1,2,11,1
25,1,2,11,1
26,1,2,11,1
27,1,2,11,1
30,1,2,11,1
53,1,5,11,1
54,1,5,11,1
55,1,2,11,1
56,1,2,11,1
31,1,2,11,1
32,1,2,11,1
33,1,2,11,1
34,1,2,11,1
35,1,5,11,1
36,1,1,11,1
37,1,2,11,1
38,1,2,11,1
39,1,2,11,1
40,1,2,11,1
41,1,2,11,1
42,1,2,11,1
43,1,2,11,1
44,1,2,11,1
45,1,2,11,1
46,1,2,11,1
47,3,4,11,1
48,3,4,11,1
49,1,2,11,1
50,1,2,11,1
51,1,2,11,1
52,1,2,11,1
1,1,2,12,1
2,1,2,12,1
4,6,5,12,1
6,6,4,12,1
7,6,4,12,1
58,6,4,12,1
59,6,4,12,1
60,6,4,12,1
61,6,4,12,1
62,6,4,12,1
63,6,4,12,1
63,6,3,12,1
64,6,4,12,1
65,1,1,12,1
66,6,4,12,1
16,1,1,12,1
67,1,1,12,1
68,1,5,12,1
18,1,1,12,1
69,1,1,12,1
70,1,1,12,1
71,1,1,12,1
72,1,1,12,1
73,1,1,12,1
21,1,1,12,1
22,1,1,12,1
23,1,1,12,1
74,1,1,12,1
24,1,1,12,1
25,1,1,12,1
27,1,1,12,1
28,1,5,12,1
32,1,1,12,1
34,1,1,12,1
35,1,1,12,1
75,1,1,12,1
76,1,3,12,1
77,1,2,12,1
78,6,4,12,1
79,1,1,12,1
50,1,1,12,1
1,1,2,13,1
2,1,2,13,1
4,1,5,13,1
6,1,4,13,1
7,1,4,13,1
58,1,4,13,1
59,1,4,13,1
60,1,4,13,1
61,1,4,13,1
62,1,4,13,1
63,1,3,13,1
63,1,4,13,1
64,1,4,13,1
65,1,4,13,1
66,1,4,13,1
16,1,4,13,1
67,1,4,13,1
68,1,1,13,1
18,1,4,13,1
69,1,4,13,1
70,1,4,13,1
71,1,4,13,1
72,1,4,13,1
73,1,4,13,1
21,1,4,13,1
22,1,2,13,1
23,1,2,13,1
74,1,2,13,1
24,1,2,13,1
25,1,2,13,1
27,1,2,13,1
28,1,5,13,1
32,1,2,13,1
34,1,2,13,1
35,1,1,13,1
75,1,2,13,1
76,1,3,13,1
77,1,2,13,1
78,1,4,13,1
79,1,4,13,1
50,1,4,13,1
1,7,5,14,1
4,6,2,14,1
6,6,4,14,1
7,6,4,14,1
8,8,5,14,1
9,8,4,14,1
58,8,5,14,1
59,8,5,14,1
60,8,5,14,1
61,8,5,14,1
62,8,4,14,1
63,8,4,14,1
63,8,5,14,1
64,8,5,14,1
64,8,1,14,1
65,8,5,14,1
65,8,1,14,1
66,8,5,14,1
66,8,1,14,1
16,8,5,14,1
16,8,1,14,1
67,8,5,14,1
67,8,1,14,1
68,8,4,14,1
68,8,4,14,1
18,8,5,14,1
18,8,1,14,1
69,8,1,14,1
70,8,1,14,1
71,8,1,14,1
72,8,1,14,1
73,8,1,14,1
21,8,1,14,1
22,8,1,14,1
23,8,1,14,1
74,8,1,14,1
24,8,1,14,1
25,8,1,14,1
27,2,2,14,1
28,2,2,14,1
32,2,2,14,1
34,2,2,14,1
35,2,2,14,1
75,2,2,14,1
76,2,3,14,1
78,8,1,14,1
79,8,5,14,1
80,8,5,14,1
81,8,5,14,1
82,8,5,14,1
83,8,5,14,1
84,8,5,14,1
85,8,5,14,1
86,8,5,14,1
87,8,1,14,1
88,8,1,14,1
89,8,5,14,1
90,8,5,14,1
91,8,5,14,1
92,8,1,14,1
93,8,1,14,1
94,8,1,14,1
50,8,1,14,1
1,9,3,15,1
2,9,3,15,1
4,1,5,15,1
6,1,4,15,1
7,1,4,15,1
8,8,5,15,1
9,8,4,15,1
58,8,5,15,1
59,8,5,15,1
60,8,5,15,1
61,8,5,15,1
62,8,5,15,1
63,8,5,15,1
63,8,5,15,1
64,8,5,15,1
64,8,3,15,1
65,8,5,15,1
65,8,3,15,1
66,8,5,15,1
66,8,3,15,1
16,8,5,15,1
16,8,3,15,1
18,8,5,15,1
18,8,3,15,1
69,8,3,15,1
69,8,3,15,1
70,8,3,15,1
71,8,3,15,1
72,8,3,15,1
20,8,3,15,1
73,8,3,15,1
21,8,3,15,1
22,8,3,15,1
23,8,3,15,1
74,8,3,15,1
24,8,3,15,1
25,8,3,15,1
27,2,1,15,1
28,2,1,15,1
34,2,1,15,1
35,2,5,15,1
75,2,1,15,1
76,2,3,15,1
95,8,5,15,1
42,9,3,15,1
46,9,3,15,1
78,8,3,15,1
79,8,3,15,1
89,8,5,15,1
90,8,5,15,1
91,8,5,15,1
92,8,3,15,1
93,8,4,15,1
94,8,3,15,1
50,8,3,15,1
1,9,1,16,1
2,9,1,16,1
4,6,3,16,1
6,6,5,16,1
7,6,5,16,1
8,6,5,16,1
9,6,5,16,1
58,8,3,16,1
59,8,3,16,1
60,8,3,16,1
61,8,3,16,1
62,8,5,16,1
63,8,3,16,1
63,8,3,16,1
64,8,3,16,1
64,8,3,16,1
65,8,3,16,1
65,8,3,16,1
66,8,3,16,1
66,8,3,16,1
16,8,3,16,1
16,8,3,16,1
18,8,3,16,1
18,8,3,16,1
69,8,3,16,1
69,8,3,16,1
70,8,3,16,1
71,8,3,16,1
72,8,3,16,1
20,8,3,16,1
73,8,3,16,1
21,8,3,16,1
22,8,3,16,1
23,8,3,16,1
74,8,3,16,1
24,8,3,16,1
25,8,3,16,1
27,2,5,16,1
28,2,5,16,1
34,2,5,16,1
35,2,5,16,1
75,2,5,16,1
76,2,3,16,1
95,8,3,16,1
77,9,1,16,1
77,9,1,16,1
78,8,3,16,1
79,8,3,16,1
89,8,3,16,1
90,8,3,16,1
91,8,5,16,1
92,8,3,16,1
93,8,5,16,1
94,8,3,16,1
50,8,3,16,1
1,9,1,17,1
2,9,1,17,1
4,1,1,17,1
6,1,1,17,1
7,1,1,17,1
8,1,1,17,1
9,1,1,17,1
58,1,1,17,1
59,10,3,17,1
60,1,1,17,1
61,10,3,17,1
62,10,3,17,1
63,10,3,17,1
63,10,3,17,1
64,10,3,17,1
65,10,3,17,1
66,10,3,17,1
16,10,3,17,1
18,10,3,17,1
69,10,3,17,1
69,10,3,17,1
70,10,3,17,1
71,10,3,17,1
72,10,3,17,1
20,10,3,17,1
73,10,3,17,1
21,10,3,17,1
22,10,3,17,1
23,10,3,17,1
74,10,3,17,1
24,10,3,17,1
25,10,3,17,1
27,2,5,17,1
28,2,5,17,1
34,2,5,17,1
35,2,3,17,1
75,2,5,17,1
76,2,3,17,1
95,10,3,17,1
77,9,5,17,1
77,9,1,17,1
78,10,3,17,1
79,10,3,17,1
50,10,3,17,1
1,1,2,18,1
2,1,2,18,1
4,6,3,18,1
6,6,4,18,1
7,6,4,18,1
58,6,4,18,1
59,6,4,18,1
60,6,4,18,1
61,6,4,18,1
62,6,3,18,1
63,6,3,18,1
63,6,4,18,1
64,6,4,18,1
65,6,4,18,1
66,6,4,18,1
16,6,4,18,1
18,6,4,18,1
69,6,4,18,1
69,6,4,18,1
70,6,4,18,1
71,6,4,18,1
72,6,4,18,1
20,6,4,18,1
73,6,4,18,1
21,6,4,18,1
22,6,4,18,1
23,6,4,18,1
74,6,4,18,1
24,6,4,18,1
25,6,4,18,1
27,6,4,18,1
28,6,5,18,1
34,6,4,18,1
35,6,1,18,1
75,6,4,18,1
76,6,3,18,1
95,6,4,18,1
77,1,4,18,1
77,1,2,18,1
78,6,4,18,1
79,6,4,18,1
50,6,4,18,1
1,1,4,19,1
2,1,4,19,1
4,1,4,19,1
6,1,1,19,1
7,1,1,19,1
8,1,1,19,1
9,1,5,19,1
58,1,1,19,1
59,1,1,19,1
60,1,1,19,1
61,1,1,19,1
62,1,5,19,1
63,1,3,19,1
63,1,1,19,1
64,1,1,19,1
65,1,1,19,1
66,1,1,19,1
16,1,1,19,1
18,1,1,19,1
69,1,1,19,1
69,1,1,19,1
70,1,1,19,1
71,1,1,19,1
72,1,1,19,1
20,1,1,19,1
73,1,1,19,1
21,1,1,19,1
22,1,1,19,1
23,1,1,19,1
74,1,1,19,1
24,1,1,19,1
25,1,1,19,1
27,1,1,19,1
28,1,5,19,1
34,1,1,19,1
35,1,1,19,1
75,1,1,19,1
76,1,3,19,1
95,1,1,19,1
77,1,3,19,1
77,1,4,19,1
78,1,1,19,1
79,1,1,19,1
50,1,1,19,1
1,10,2,20,1
96,10,2,20,1
97,10,2,20,1
98,10,2,20,1
99,10,2,20,1
100,10,2,20,1
101,10,2,20,1
102,10,2,20,1
4,10,5,20,1
6,10,2,20,1
7,10,2,20,1
8,10,2,20,1
9,10,1,20,1
58,10,2,20,1
59,10,2,20,1
103,10,2,20,1
60,10,2,20,1
61,10,2,20,1
62,10,1,20,1
14,10,3,20,1
64,10,2,20,1
64,10,2,20,1
65,10,2,20,1
65,10,2,20,1
16,10,2,20,1
16,10,2,20,1
104,10,2,20,1
104,10,2,20,1
17,10,2,20,1
18,10,2,20,1
105,10,2,20,1
106,10,5,20,1
70,10,2,20,1
71,10,2,20,1
20,10,2,20,1
73,10,4,20,1
21,10,4,20,1
22,10,4,20,1
107,10,4,20,1
108,10,4,20,1
109,10,4,20,1
23,10,4,20,1
24,10,4,20,1
25,2,5,20,1
25,10,2,20,1
27,2,5,20,1
27,2,5,20,1
28,2,5,20,1
55,2,4,20,1
31,2,5,20,1
31,2,5,20,1
110,2,5,20,1
110,2,5,20,1
34,2,5,20,1
34,2,5,20,1
35,2,5,20,1
35,2,4,20,1
75,2,5,20,1
75,2,5,20,1
76,2,3,20,1
76,2,3,20,1
111,10,2,20,1
79,10,2,20,1
112,10,2,20,1
113,10,2,20,1
114,10,2,20,1
115,10,3,20,1
85,10,2,20,1
86,10,3,20,1
116,10,2,20,1
89,10,2,20,1
90,10,2,20,1
91,10,2,20,1
92,10,2,20,1
93,10,6,20,1
94,10,2,20,1
50,10,2,20,1
117,10,2,20,1
118,10,2,20,1
1,9,1,21,1
2,9,1,21,1
4,1,1,21,1
6,1,1,21,1
7,1,1,21,1
8,1,1,21,1
9,1,1,21,1
58,1,1,21,1
59,10,2,21,1
103,10,2,21,1
60,1,1,21,1
61,1,1,21,1
62,1,1,21,1
14,1,3,21,1
64,10,2,21,1
65,10,2,21,1
16,10,2,21,1
104,10,2,21,1
17,10,2,21,1
18,10,2,21,1
70,10,2,21,1
71,10,2,21,1
20,10,2,21,1
73,10,2,21,1
21,10,2,21,1
22,10,2,21,1
23,10,2,21,1
74,10,2,21,1
24,10,2,21,1
25,10,2,21,1
27,10,1,21,1
28,10,1,21,1
31,10,1,21,1
110,10,1,21,1
34,10,1,21,1
35,10,1,21,1
75,10,1,21,1
76,10,1,21,1
77,9,1,21,1
111,1,1,21,1
78,1,1,21,1
79,10,2,21,1
116,10,2,21,1
50,10,2,21,1
117,1,1,21,1
1,1,2,22,1
2,1,3,22,1
4,1,2,22,1
6,1,2,22,1
7,1,2,22,1
8,1,1,22,1
9,1,1,22,1
58,1,1,22,1
59,1,1,22,1
60,1,1,22,1
61,1,1,22,1
62,1,1,22,1
14,1,3,22,1
64,1,1,22,1
65,1,1,22,1
16,1,1,22,1
104,1,1,22,1
17,1,1,22,1
18,1,1,22,1
70,1,1,22,1
71,1,1,22,1
20,1,1,22,1
73,1,1,22,1
21,1,1,22,1
22,1,1,22,1
23,1,1,22,1
74,1,1,22,1
24,1,1,22,1
25,1,1,22,1
27,1,1,22,1
28,1,5,22,1
31,1,1,22,1
34,1,1,22,1
35,1,1,22,1
75,1,1,22,1
76,1,3,22,1
77,1,3,22,1
119,1,2,22,1
111,1,1,22,1
78,1,1,22,1
79,1,1,22,1
116,1,1,22,1
50,1,1,22,1
117,1,1,22,1
118,1,1,22,1
1,1,2,23,1
2,1,3,23,1
4,1,2,23,1
6,1,1,23,1
7,1,1,23,1
8,1,1,23,1
9,1,1,23,1
58,1,1,23,1
59,1,1,23,1
60,1,1,23,1
61,1,1,23,1
62,1,1,23,1
14,1,3,23,1
64,1,1,23,1
65,1,1,23,1
16,1,1,23,1
104,1,1,23,1
17,1,1,23,1
18,1,1,23,1
70,1,1,23,1
71,1,1,23,1
20,1,1,23,1
73,1,1,23,1
21,1,1,23,1
22,1,1,23,1
23,1,1,23,1
74,1,1,23,1
24,1,1,23,1
25,1,1,23,1
27,1,1,23,1
28,1,5,23,1
31,1,1,23,1
34,1,1,23,1
35,1,1,23,1
75,1,1,23,1
76,1,3,23,1
77,1,3,23,1
119,1,2,23,1
111,1,1,23,1
78,1,1,23,1
79,1,1,23,1
116,1,1,23,1
50,1,1,23,1
117,1,1,23,1
118,1,1,23,1
1,1,1,24,1
2,1,5,24,1
4,1,3,24,1
6,1,1,24,1
7,1,1,24,1
8,1,1,24,1
9,1,5,24,1
58,1,1,24,1
59,1,1,24,1
60,1,1,24,1
61,1,1,24,1
62,1,5,24,1
14,1,1,24,1
64,11,4,24,1
65,11,2,24,1
16,11,2,24,1
104,11,2,24,1
17,11,2,24,1
18,11,2,24,1
70,11,2,24,1
71,11,2,24,1
20,11,2,24,1
73,11,2,24,1
21,11,2,24,1
22,11,2,24,1
23,11,2,24,1
74,11,2,24,1
24,11,2,24,1
25,11,2,24,1
27,11,5,24,1
28,11,5,24,1
31,11,5,24,1
34,11,5,24,1
35,11,1,24,1
75,11,5,24,1
76,11,3,24,1
77,1,4,24,1
119,1,1,24,1
111,1,1,24,1
78,1,1,24,1
79,11,4,24,1
116,11,4,24,1
50,11,2,24,1
117,1,1,24,1
118,11,2,24,1
1,9,3,25,1
4,1,1,25,1
6,1,1,25,1
7,1,1,25,1
8,1,1,25,1
9,1,1,25,1
58,1,1,25,1
59,10,5,25,1
60,1,1,25,1
61,1,1,25,1
62,1,1,25,1
14,1,3,25,1
64,10,5,25,1
65,10,5,25,1
16,10,5,25,1
104,10,5,25,1
17,10,5,25,1
18,10,5,25,1
70,10,5,25,1
71,10,5,25,1
20,10,5,25,1
73,10,5,25,1
21,10,5,25,1
22,10,5,25,1
23,10,5,25,1
74,10,5,25,1
24,10,5,25,1
25,10,5,25,1
27,10,5,25,1
28,2,5,25,1
31,2,5,25,1
34,2,5,25,1
35,2,5,25,1
75,2,5,25,1
76,2,3,25,1
111,1,1,25,1
78,1,1,25,1
79,10,5,25,1
116,10,5,25,1
50,10,5,25,1
117,1,1,25,1
1,1,4,26,1
120,1,4,26,1
2,1,4,26,1
4,1,4,26,1
5,1,4,26,1
6,1,4,26,1
7,1,4,26,1
8,1,4,26,1
9,1,4,26,1
61,1,4,26,1
62,1,4,26,1
14,1,4,26,1
64,1,2,26,1
65,1,2,26,1
16,1,2,26,1
17,1,2,26,1
18,1,2,26,1
70,1,2,26,1
71,1,2,26,1
20,1,2,26,1
73,1,2,26,1
21,1,2,26,1
22,1,2,26,1
23,1,2,26,1
24,1,2,26,1
25,1,2,26,1
27,1,2,26,1
55,1,5,26,1
31,1,2,26,1
34,1,2,26,1
35,1,1,26,1
75,1,2,26,1
76,1,3,26,1
42,1,4,26,1
46,1,4,26,1
47,1,4,26,1
48,1,4,26,1
50,1,2,26,1
121,1,2,26,1
51,1,2,26,1
1,1,2,27,1
120,1,2,27,1
2,1,4,27,1
4,1,3,27,1
5,1,4,27,1
6,1,4,27,1
7,1,4,27,1
8,1,4,27,1
9,1,4,27,1
61,1,4,27,1
62,1,4,27,1
14,1,4,27,1
64,1,2,27,1
65,1,2,27,1
16,1,2,27,1
17,1,2,27,1
18,1,2,27,1
70,1,2,27,1
71,1,2,27,1
20,1,2,27,1
73,1,2,27,1
21,1,2,27,1
22,1,2,27,1
23,1,2,27,1
24,1,2,27,1
25,1,2,27,1
27,1,2,27,1
55,1,5,27,1
31,1,2,27,1
34,1,2,27,1
35,1,1,27,1
75,1,2,27,1
76,1,3,27,1
42,1,4,27,1
46,1,2,27,1
47,1,4,27,1
48,1,4,27,1
50,1,2,27,1
121,1,2,27,1
51,1,2,27,1
1,1,4,28,1
120,1,4,28,1
2,1,2,28,1
4,1,5,28,1
5,1,4,28,1
6,1,4,28,1
7,1,4,28,1
8,1,4,28,1
9,1,4,28,1
59,1,4,28,1
61,1,4,28,1
62,1,4,28,1
14,1,4,28,1
64,1,4,28,1
65,1,4,28,1
16,1,4,28,1
17,1,4,28,1
18,1,4,28,1
70,1,4,28,1
71,1,4,28,1
20,1,4,28,1
73,1,4,28,1
21,1,4,28,1
22,1,4,28,1
23,1,4,28,1
24,1,4,28,1
25,1,4,28,1
27,1,4,28,1
55,1,5,28,1
31,1,4,28,1
34,1,4,28,1
35,1,1,28,1
75,1,4,28,1
76,1,3,28,1
42,1,2,28,1
46,1,4,28,1
47,1,4,28,1
48,1,4,28,1
50,1,4,28,1
121,1,4,28,1
51,1,4,28,1
1,1,2,29,1
120,1,2,29,1
2,1,2,29,1
4,1,3,29,1
5,1,2,29,1
6,1,2,29,1
7,1,2,29,1
61,1,2,29,1
62,1,2,29,1
14,1,2,29,1
64,1,2,29,1
65,1,2,29,1
16,1,2,29,1
17,1,2,29,1
18,1,2,29,1
70,1,2,29,1
71,1,2,29,1
20,1,2,29,1
